Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SwagLogin,Edge Chromium 123,,,21-04-2024 16:55:04,21-04-2024 16:55:15,11.241s,PASSED
,,,,,,,
Test Cases/SwagLab/SL_Login,Edge Chromium 123,,,21-04-2024 16:55:04,21-04-2024 16:55:15,10.901s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 16:55:05,21-04-2024 16:55:10,5.625s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 123,,,21-04-2024 16:55:10,21-04-2024 16:55:12,1.265s,PASSED
"setText(findTestObject(""Object Repository/Swag_Login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 123,,,21-04-2024 16:55:12,21-04-2024 16:55:13,1.241s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Swag_Login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 123,,,21-04-2024 16:55:13,21-04-2024 16:55:14,0.718s,PASSED
"click(findTestObject(""Object Repository/Swag_Login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 123,,,21-04-2024 16:55:14,21-04-2024 16:55:15,1.633s,PASSED
