Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SwagLogin,Edge Chromium 123,,,21-04-2024 16:42:29,21-04-2024 16:42:42,12.786s,PASSED
,,,,,,,
Test Cases/SwagLab/SL_Login,Edge Chromium 123,,,21-04-2024 16:42:29,21-04-2024 16:42:42,12.504s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 16:42:30,21-04-2024 16:42:36,6.002s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 123,,,21-04-2024 16:42:36,21-04-2024 16:42:37,1.571s,PASSED
"setText(findTestObject(""Object Repository/Swag_Login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 123,,,21-04-2024 16:42:37,21-04-2024 16:42:39,1.761s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Swag_Login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 123,,,21-04-2024 16:42:39,21-04-2024 16:42:40,1.273s,PASSED
"click(findTestObject(""Object Repository/Swag_Login/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 123,,,21-04-2024 16:42:40,21-04-2024 16:42:42,1.462s,PASSED
