Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_login,Edge Chromium 123,,,21-04-2024 15:31:04,21-04-2024 15:31:17,13.543s,PASSED
,,,,,,,
Test Cases/PetStore/login,Edge Chromium 123,,,21-04-2024 15:31:04,21-04-2024 15:31:17,13.241s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 15:31:05,21-04-2024 15:31:11,6.598s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Account.action?signonForm="")",Edge Chromium 123,,,21-04-2024 15:31:11,21-04-2024 15:31:14,2.383s,PASSED
"setText(findTestObject(""Object Repository/PetStore_Login/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Edge Chromium 123,,,21-04-2024 15:31:14,21-04-2024 15:31:15,1.348s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PetStore_Login/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Edge Chromium 123,,,21-04-2024 15:31:15,21-04-2024 15:31:16,0.792s,PASSED
"click(findTestObject(""Object Repository/PetStore_Login/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 123,,,21-04-2024 15:31:16,21-04-2024 15:31:17,1.558s,PASSED
