Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_login,Edge Chromium 123,,,21-04-2024 15:15:41,21-04-2024 15:15:53,11.985s,PASSED
,,,,,,,
Test Cases/PetStore/login,Edge Chromium 123,,,21-04-2024 15:15:41,21-04-2024 15:15:53,11.770s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 15:15:41,21-04-2024 15:15:47,5.602s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Account.action?signonForm="")",Edge Chromium 123,,,21-04-2024 15:15:47,21-04-2024 15:15:50,2.485s,PASSED
"setText(findTestObject(""Object Repository/PetStore_Login/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Edge Chromium 123,,,21-04-2024 15:15:50,21-04-2024 15:15:51,1.325s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PetStore_Login/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Edge Chromium 123,,,21-04-2024 15:15:51,21-04-2024 15:15:52,0.744s,PASSED
"click(findTestObject(""Object Repository/PetStore_Login/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 123,,,21-04-2024 15:15:52,21-04-2024 15:15:53,1.287s,PASSED
