Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CheckOut_bag,Edge Chromium 123,,,21-04-2024 16:55:55,21-04-2024 16:56:16,21.163s,PASSED
,,,,,,,
Test Cases/SwagLab/Checkout_Bag,Edge Chromium 123,,,21-04-2024 16:55:55,21-04-2024 16:56:16,20.915s,PASSED
"callTestCase(findTestCase(""SwagLab/SL_Login""), [:], STOP_ON_FAILURE)",Edge Chromium 123,,,21-04-2024 16:55:56,21-04-2024 16:56:06,10.113s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 123,,,21-04-2024 16:56:06,21-04-2024 16:56:07,0.558s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/path""))",Edge Chromium 123,,,21-04-2024 16:56:07,21-04-2024 16:56:10,3.386s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/cart.html"")",Edge Chromium 123,,,21-04-2024 16:56:10,21-04-2024 16:56:10,0.133s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/a_CHECKOUT""))",Edge Chromium 123,,,21-04-2024 16:56:10,21-04-2024 16:56:11,0.918s,PASSED
"setText(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/input_Checkout Your Information_first-name""), ""Ravi"")",Edge Chromium 123,,,21-04-2024 16:56:11,21-04-2024 16:56:12,0.708s,PASSED
"setText(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/input_Checkout Your Information_last-name""), ""M"")",Edge Chromium 123,,,21-04-2024 16:56:12,21-04-2024 16:56:12,0.681s,PASSED
"setText(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/input_Checkout Your Information_postal-code""), ""560064"")",Edge Chromium 123,,,21-04-2024 16:56:12,21-04-2024 16:56:13,0.686s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/input_CANCEL_btn_primary cart_button""))",Edge Chromium 123,,,21-04-2024 16:56:13,21-04-2024 16:56:14,0.671s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/a_FINISH""))",Edge Chromium 123,,,21-04-2024 16:56:14,21-04-2024 16:56:15,0.936s,PASSED
"verifyElementText(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/h2_THANK YOU FOR YOUR ORDER""), ""THANK YOU FOR YOUR ORDER"")",Edge Chromium 123,,,21-04-2024 16:56:15,21-04-2024 16:56:15,0.362s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/button_Open Menu""))",Edge Chromium 123,,,21-04-2024 16:56:15,21-04-2024 16:56:15,0.375s,PASSED
"click(findTestObject(""Object Repository/Swag_Checkout_Bag/Page_Swag Labs/a_Logout""))",Edge Chromium 123,,,21-04-2024 16:56:15,21-04-2024 16:56:16,0.424s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 16:56:16,21-04-2024 16:56:16,0.448s,PASSED
